Folder,Pairs_Found,Baseline_cm,Baseline_Error_Percent,Left_Reprojection_Error_px,Right_Reprojection_Error_px,Stereo_Reprojection_Error_px,Depth_RMSE_m,Spatial_Noise_m,Median_LR_Consistency_Error_px
30mm,39,2.96,1.21,1.08,1.10,1.11,0.0307,0.0022,0.00
35mm,40,3.41,2.61,0.94,0.91,0.99,0.0254,0.0116,0.06
40mm,40,4.05,1.33,2.53,2.53,2.58,0.0936,0.0043,0.12
45mm,41,4.61,2.43,0.60,0.60,0.85,0.0152,0.0103,0.12
50mm,42,4.97,0.69,2.39,2.54,2.57,0.0732,0.0045,0.12
55mm,40,5.48,0.30,0.76,0.75,0.95,0.0314,0.0077,0.06
60mm,40,6.11,1.82,1.08,1.26,1.23,0.0505,0.0116,0.38
65mm,39,6.48,0.26,0.92,0.98,1.13,0.6346,0.6165,10.75
70mm,33,7.09,1.33,2.87,2.98,3.02,0.3828,0.3175,0.25
