Folder,Pairs_Found,Baseline_cm,Baseline_Error_Percent,Left_Reprojection_Error_px,Right_Reprojection_Error_px,Stereo_Reprojection_Error_px,Depth_RMSE_m,Spatial_Noise_m,Median_LR_Consistency_Error_px
30mm,39,2.96,1.37,0.43,0.41,0.53,0.0323,0.0029,0.06
35mm,40,3.41,2.55,0.49,0.49,0.88,0.0272,0.0115,0.12
40mm,40,4.05,1.3,0.55,0.53,1.03,0.0973,0.0039,0.12
45mm,41,4.61,2.35,0.46,0.43,1.28,0.0139,0.0096,0.12
50mm,42,4.99,0.2,0.46,0.45,1.1,0.0671,0.0031,0.12
55mm,40,5.48,0.32,0.51,0.49,1.27,0.0314,0.0071,0.12
60mm,40,6.1,1.69,0.57,0.52,0.89,0.0597,0.0083,0.88
65mm,40,6.53,0.39,0.47,0.38,0.73,0.0593,0.0045,9.44
70mm,33,7.05,0.76,0.5,0.5,1.17,0.2115,0.0175,1.38
